Latency (s),Energy Consumption (j),Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,"	MapTask8To",MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,Combi_Task,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank,no_1.0_VSFS,no_MIPS,no_Adreno,no_ARMv8
0.003947721,0.043939483,5,"(3, 4)","""Node4""","""Node4""","""Node3""","""Node1""","""Node2""","""Node4""","""Node1""","""Node3""","""Node5""","""Node5""","""Node2""","(3, 0, 2)",5,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,3,0,2
0.00476245,0.044882712,5,"(5, 6)","""Node4""","""Node4""","""Node2""","""Node4""","""Node5""","""Node5""","""Node1""","""Node2""","""Node5""","""Node3""","""Node1""","(3, 0, 2)",5,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",7,1,3,0,2
0.004923447,0.04318166,5,"(7, 8)","""Node1""","""Node2""","""Node1""","""Node1""","""Node3""","""Node2""","""Node4""","""Node4""","""Node5""","""Node4""","""Node3""","(3, 0, 2)",5,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,3,0,2
0.004298108,0.049495971,6,"(6, 7)","""Node1""","""Node1""","""Node6""","""Node4""","""Node2""","""Node6""","""Node5""","""Node3""","""Node5""","""Node4""","""Node3""","(2, 0, 4)",6,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",12,1,2,0,4
0.005093444,0.039584897,6,"(5, 8)","""Node1""","""Node3""","""Node1""","""Node1""","""Node6""","""Node4""","""Node3""","""Node2""","""Node2""","""Node5""","""Node5""","(4, 2, 0)",6,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,4,2,0
0.005211779,0.040018602,6,"(6, 8)","""Node5""","""Node6""","""Node5""","""Node5""","""Node3""","""Node6""","""Node1""","""Node3""","""Node2""","""Node4""","""Node3""","(5, 1, 0)",6,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,5,1,0
0.004011404,0.042752898,6,"(6, 8)","""Node5""","""Node4""","""Node2""","""Node5""","""Node1""","""Node4""","""Node2""","""Node2""","""Node6""","""Node3""","""Node1""","(0, 5, 1)",6,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,0,5,1
0.004944995,0.048848781,4,"(7, 8)","""Node1""","""Node3""","""Node1""","""Node1""","""Node4""","""Node2""","""Node3""","""Node3""","""Node4""","""Node3""","""Node2""","(0, 2, 2)",4,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",7,1,0,2,2
0.00493147,0.041695763,5,"(6, 7)","""Node1""","""Node5""","""Node1""","""Node4""","""Node3""","""Node5""","""Node2""","""Node4""","""Node3""","""Node2""","""Node4""","(3, 2, 0)",5,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,3,2,0
0.00367704,0.050390879,6,"(3, 4)","""Node1""","""Node1""","""Node3""","""Node1""","""Node1""","""Node2""","""Node4""","""Node3""","""Node6""","""Node5""","""Node5""","(0, 1, 5)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",8,1,0,1,5
0.004774942,0.054471922,6,"(7, 8)","""Node4""","""Node4""","""Node4""","""Node4""","""Node3""","""Node1""","""Node6""","""Node6""","""Node2""","""Node5""","""Node3""","(0, 1, 5)",6,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",14,1,0,1,5
0.004615438,0.04508789,4,"(5, 6)","""Node1""","""Node2""","""Node1""","""Node1""","""Node2""","""Node4""","""Node4""","""Node3""","""Node3""","""Node4""","""Node4""","(1, 2, 1)",4,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1,1,2,1
0.004837383,0.039569649,5,"(3, 4)","""Node1""","""Node3""","""Node4""","""Node2""","""Node5""","""Node3""","""Node1""","""Node4""","""Node2""","""Node5""","""Node5""","(4, 1, 0)",5,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1,4,1,0
0.004070083,0.046860093,6,"(5, 8)","""Node1""","""Node3""","""Node1""","""Node1""","""Node4""","""Node2""","""Node3""","""Node2""","""Node6""","""Node5""","""Node5""","(0, 3, 3)",6,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",9,1,0,3,3
0.004500295,0.047790826,6,"(7, 8)","""Node2""","""Node4""","""Node2""","""Node2""","""Node5""","""Node4""","""Node1""","""Node2""","""Node3""","""Node6""","""Node5""","(0, 3, 3)",6,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",12,1,0,3,3
0.004108484,0.041404188,6,"(6, 8)","""Node5""","""Node3""","""Node6""","""Node5""","""Node1""","""Node3""","""Node6""","""Node1""","""Node2""","""Node4""","""Node1""","(1, 5, 0)",6,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,1,5,0
0.004384768,0.04034605,6,"(7, 8)","""Node3""","""Node2""","""Node6""","""Node3""","""Node5""","""Node2""","""Node6""","""Node5""","""Node4""","""Node1""","""Node5""","(3, 3, 0)",6,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1,3,3,0
0.004837845,0.03835509,6,"(7, 8)","""Node3""","""Node2""","""Node6""","""Node3""","""Node5""","""Node2""","""Node6""","""Node5""","""Node5""","""Node4""","""Node1""","(6, 0, 0)",6,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1,6,0,0
0.004408163,0.047646367,6,"(5, 6)","""Node6""","""Node3""","""Node6""","""Node6""","""Node1""","""Node1""","""Node3""","""Node4""","""Node5""","""Node2""","""Node2""","(2, 0, 4)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",11,1,2,0,4
0.0042252,0.049963998,6,"(7, 8)","""Node3""","""Node2""","""Node3""","""Node3""","""Node4""","""Node2""","""Node6""","""Node4""","""Node5""","""Node1""","""Node4""","(2, 0, 4)",6,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",11,1,2,0,4
0.00403554,0.038392981,6,"(5, 6)","""Node6""","""Node5""","""Node6""","""Node6""","""Node5""","""Node6""","""Node2""","""Node3""","""Node4""","""Node1""","""Node1""","(4, 2, 0)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,4,2,0
0.004452956,0.040957271,6,"(7, 8)","""Node1""","""Node6""","""Node5""","""Node1""","""Node2""","""Node3""","""Node5""","""Node6""","""Node2""","""Node6""","""Node4""","(4, 2, 0)",6,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,4,2,0
0.003547252,0.053971652,6,"(3, 4)","""Node3""","""Node6""","""Node3""","""Node1""","""Node5""","""Node6""","""Node2""","""Node3""","""Node1""","""Node5""","""Node4""","(0, 0, 6)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",7,1,0,0,6
0.00408874,0.054424665,6,"(6, 7)","""Node6""","""Node2""","""Node6""","""Node1""","""Node3""","""Node2""","""Node5""","""Node4""","""Node5""","""Node1""","""Node4""","(0, 0, 6)",6,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",13,1,0,0,6
0.003821267,0.048994841,4,"(3, 4)","""Node4""","""Node2""","""Node4""","""Node4""","""Node1""","""Node3""","""Node2""","""Node4""","""Node3""","""Node1""","""Node1""","(1, 0, 3)",4,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1,1,0,3
0.004335845,0.047949701,4,"(7, 8)","""Node4""","""Node2""","""Node4""","""Node4""","""Node3""","""Node1""","""Node2""","""Node3""","""Node1""","""Node2""","""Node3""","(1, 0, 3)",4,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,1,0,3
0.003483501,0.041646102,5,"(7, 8)","""Node4""","""Node1""","""Node4""","""Node1""","""Node3""","""Node2""","""Node5""","""Node2""","""Node3""","""Node5""","""Node2""","(1, 3, 1)",5,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1,1,3,1
0.00377077,0.045338433,5,"(6, 8)","""Node3""","""Node2""","""Node3""","""Node3""","""Node5""","""Node4""","""Node2""","""Node2""","""Node5""","""Node1""","""Node1""","(2, 2, 1)",5,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,2,2,1
0.005073941,0.053392461,4,"(3, 4)","""Node3""","""Node1""","""Node3""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node4""","""Node2""","""Node2""","(1, 1, 2)",4,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",8,1,1,1,2
0.004223634,0.047757635,4,"(5, 8)","""Node1""","""Node2""","""Node1""","""Node1""","""Node4""","""Node3""","""Node2""","""Node2""","""Node3""","""Node4""","""Node4""","(1, 1, 2)",4,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,1,1,2
0.005499521,0.042875611,5,"(3, 4)","""Node4""","""Node4""","""Node1""","""Node5""","""Node2""","""Node4""","""Node5""","""Node1""","""Node5""","""Node3""","""Node2""","(2, 2, 1)",5,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",8,1,2,2,1
0.00493147,0.041411303,5,"(6, 8)","""Node1""","""Node4""","""Node1""","""Node3""","""Node2""","""Node4""","""Node3""","""Node5""","""Node2""","""Node5""","""Node5""","(3, 2, 0)",5,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,3,2,0
0.003948484,0.050508424,6,"(5, 6)","""Node3""","""Node6""","""Node3""","""Node3""","""Node1""","""Node6""","""Node6""","""Node4""","""Node2""","""Node5""","""Node5""","(0, 1, 5)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",10,1,0,1,5
0.004061779,0.051807543,6,"(6, 7)","""Node5""","""Node4""","""Node5""","""Node1""","""Node2""","""Node4""","""Node6""","""Node1""","""Node6""","""Node3""","""Node3""","(0, 1, 5)",6,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",11,1,0,1,5
0.004615438,0.047218107,4,"(6, 8)","""Node3""","""Node2""","""Node3""","""Node3""","""Node1""","""Node4""","""Node2""","""Node1""","""Node1""","""Node4""","""Node4""","(1, 2, 1)",4,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,1,2,1
0.004837383,0.039569649,5,"(5, 7)","""Node3""","""Node2""","""Node3""","""Node4""","""Node5""","""Node2""","""Node5""","""Node4""","""Node5""","""Node1""","""Node1""","(4, 1, 0)",5,"(5, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1,4,1,0
0.004260048,0.048860819,6,"(6, 7)","""Node3""","""Node4""","""Node3""","""Node6""","""Node1""","""Node4""","""Node6""","""Node2""","""Node5""","""Node6""","""Node2""","(0, 3, 3)",6,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",11,1,0,3,3
0.004723416,0.041145997,6,"(5, 6)","""Node5""","""Node4""","""Node5""","""Node5""","""Node6""","""Node2""","""Node3""","""Node4""","""Node1""","""Node2""","""Node2""","(3, 3, 0)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,3,3,0
0.004852511,0.037665339,6,"(3, 4)","""Node6""","""Node3""","""Node2""","""Node1""","""Node1""","""Node3""","""Node6""","""Node2""","""Node4""","""Node5""","""Node5""","(6, 0, 0)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,6,0,0
0.004923447,0.04318166,5,"(6, 8)","""Node5""","""Node2""","""Node5""","""Node3""","""Node1""","""Node2""","""Node5""","""Node2""","""Node1""","""Node4""","""Node4""","(1, 4, 0)",5,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,1,4,0
0.003756544,0.039267117,6,"(3, 4)","""Node6""","""Node5""","""Node6""","""Node1""","""Node3""","""Node5""","""Node4""","""Node6""","""Node2""","""Node1""","""Node1""","(5, 1, 0)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,5,1,0
0.003688222,0.052356048,6,"(5, 6)","""Node5""","""Node1""","""Node5""","""Node5""","""Node1""","""Node2""","""Node3""","""Node2""","""Node4""","""Node6""","""Node6""","(0, 0, 6)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",9,1,0,0,6
0.004025515,0.054231115,6,"(6, 8)","""Node2""","""Node1""","""Node2""","""Node2""","""Node5""","""Node6""","""Node1""","""Node4""","""Node3""","""Node4""","""Node5""","(0, 0, 6)",6,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",12,1,0,0,6
0.003729712,0.044211256,6,"(3, 4)","""Node3""","""Node3""","""Node4""","""Node6""","""Node3""","""Node6""","""Node2""","""Node4""","""Node5""","""Node1""","""Node1""","(0, 5, 1)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,0,5,1
0.005022485,0.046239877,6,"(6, 7)","""Node4""","""Node6""","""Node4""","""Node4""","""Node3""","""Node6""","""Node5""","""Node1""","""Node2""","""Node5""","""Node5""","(0, 5, 1)",6,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",9,1,0,5,1
0.004335845,0.047949701,4,"(6, 8)","""Node1""","""Node2""","""Node1""","""Node2""","""Node3""","""Node4""","""Node1""","""Node1""","""Node3""","""Node4""","""Node4""","(1, 1, 2)",4,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,1,1,2
0.005308746,0.041411303,5,"(5, 8)","""Node2""","""Node3""","""Node2""","""Node2""","""Node4""","""Node5""","""Node3""","""Node1""","""Node5""","""Node1""","""Node1""","(3, 2, 0)",5,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",7,1,3,2,0
0.005087467,0.044414868,4,"(6, 7)","""Node3""","""Node3""","""Node3""","""Node1""","""Node2""","""Node3""","""Node1""","""Node1""","""Node2""","""Node4""","""Node1""","(1, 2, 1)",4,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1,1,2,1
0.004615438,0.047218107,4,"(7, 8)","""Node1""","""Node2""","""Node1""","""Node1""","""Node3""","""Node2""","""Node4""","""Node4""","""Node3""","""Node4""","""Node2""","(1, 2, 1)",4,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,1,2,1
0.004837383,0.039569649,5,"(6, 8)","""Node3""","""Node5""","""Node3""","""Node5""","""Node2""","""Node4""","""Node5""","""Node3""","""Node2""","""Node1""","""Node1""","(4, 1, 0)",5,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,4,1,0
0.004662958,0.048837887,6,"(5, 6)","""Node6""","""Node1""","""Node6""","""Node6""","""Node2""","""Node6""","""Node4""","""Node1""","""Node5""","""Node3""","""Node4""","(0, 3, 3)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",13,1,0,3,3
0.003982788,0.046723702,6,"(6, 8)","""Node5""","""Node2""","""Node1""","""Node5""","""Node4""","""Node2""","""Node1""","""Node6""","""Node3""","""Node6""","""Node4""","(0, 3, 3)",6,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",8,1,0,3,3
0.003843196,0.041305784,6,"(3, 4)","""Node5""","""Node5""","""Node6""","""Node1""","""Node5""","""Node2""","""Node3""","""Node6""","""Node4""","""Node1""","""Node1""","(3, 3, 0)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1,3,3,0
0.007374242,0.036797475,6,"(5, 6)","""Node3""","""Node1""","""Node3""","""Node3""","""Node2""","""Node2""","""Node1""","""Node4""","""Node6""","""Node5""","""Node5""","(6, 0, 0)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,6,0,0
0.00476245,0.044882712,5,"(6, 8)","""Node1""","""Node3""","""Node1""","""Node1""","""Node5""","""Node4""","""Node3""","""Node5""","""Node2""","""Node4""","""Node5""","(3, 0, 2)",5,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",8,1,3,0,2
0.004393296,0.047750532,6,"(3, 4)","""Node4""","""Node5""","""Node2""","""Node5""","""Node3""","""Node5""","""Node4""","""Node2""","""Node6""","""Node1""","""Node3""","(2, 0, 4)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",11,1,2,0,4
0.003983365,0.046948043,6,"(5, 8)","""Node1""","""Node2""","""Node6""","""Node1""","""Node5""","""Node2""","""Node6""","""Node2""","""Node3""","""Node4""","""Node4""","(2, 0, 4)",6,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",9,1,2,0,4
0.003960564,0.038863448,6,"(3, 4)","""Node6""","""Node6""","""Node1""","""Node4""","""Node6""","""Node2""","""Node4""","""Node1""","""Node5""","""Node3""","""Node3""","(4, 2, 0)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,4,2,0
0.005957493,0.039612758,6,"(5, 8)","""Node1""","""Node3""","""Node1""","""Node1""","""Node4""","""Node6""","""Node3""","""Node1""","""Node5""","""Node2""","""Node2""","(5, 1, 0)",6,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,5,1,0
0.004793946,0.039440131,6,"(7, 8)","""Node2""","""Node6""","""Node2""","""Node4""","""Node3""","""Node1""","""Node6""","""Node3""","""Node3""","""Node5""","""Node1""","(5, 1, 0)",6,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1,5,1,0
0.003710115,0.044329774,6,"(5, 6)","""Node3""","""Node6""","""Node3""","""Node3""","""Node6""","""Node3""","""Node4""","""Node2""","""Node1""","""Node5""","""Node5""","(0, 5, 1)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,0,5,1
0.003952159,0.045825696,5,"(5, 8)","""Node2""","""Node1""","""Node2""","""Node3""","""Node5""","""Node1""","""Node3""","""Node4""","""Node4""","""Node5""","""Node5""","(1, 3, 1)",5,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,1,3,1
0.003827897,0.051259256,6,"(6, 8)","""Node6""","""Node4""","""Node2""","""Node6""","""Node5""","""Node4""","""Node2""","""Node1""","""Node1""","""Node3""","""Node3""","(0, 1, 5)",6,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",10,1,0,1,5
0.004615438,0.047218107,4,"(5, 8)","""Node1""","""Node1""","""Node2""","""Node2""","""Node4""","""Node1""","""Node2""","""Node4""","""Node3""","""Node4""","""Node4""","(1, 2, 1)",4,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,1,2,1
0.006169559,0.039652172,5,"(6, 7)","""Node5""","""Node5""","""Node5""","""Node5""","""Node3""","""Node4""","""Node4""","""Node2""","""Node1""","""Node1""","""Node2""","(4, 1, 0)",5,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,4,1,0
0.003574142,0.049105984,6,"(3, 4)","""Node2""","""Node3""","""Node2""","""Node3""","""Node4""","""Node6""","""Node1""","""Node3""","""Node5""","""Node5""","""Node4""","(0, 3, 3)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,0,3,3
0.003550973,0.042716722,6,"(3, 4)","""Node3""","""Node5""","""Node3""","""Node3""","""Node4""","""Node5""","""Node2""","""Node3""","""Node6""","""Node1""","""Node4""","(1, 5, 0)",6,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,1,5,0
0.004083262,0.041379057,6,"(5, 8)","""Node5""","""Node6""","""Node4""","""Node5""","""Node3""","""Node6""","""Node4""","""Node2""","""Node1""","""Node2""","""Node2""","(1, 5, 0)",6,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1,1,5,0
0.005488815,0.041190205,6,"(5, 8)","""Node6""","""Node6""","""Node6""","""Node6""","""Node1""","""Node2""","""Node4""","""Node3""","""Node3""","""Node5""","""Node5""","(3, 3, 0)",6,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",7,1,3,3,0
0.004308933,0.037673713,6,"(6, 8)","""Node2""","""Node2""","""Node4""","""Node2""","""Node5""","""Node1""","""Node4""","""Node2""","""Node3""","""Node6""","""Node5""","(6, 0, 0)",6,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,6,0,0
0.005184314,0.042864385,5,"(7, 8)","""Node4""","""Node4""","""Node4""","""Node4""","""Node3""","""Node5""","""Node1""","""Node3""","""Node3""","""Node2""","""Node5""","(1, 4, 0)",5,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",7,1,1,4,0
0.004626755,0.041235394,5,"(5, 8)","""Node3""","""Node1""","""Node3""","""Node1""","""Node2""","""Node1""","""Node3""","""Node1""","""Node5""","""Node4""","""Node4""","(3, 0, 2)",5,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1,3,0,2
0.004298108,0.049495971,5,"(6, 7)","""Node1""","""Node5""","""Node1""","""Node3""","""Node4""","""Node5""","""Node4""","""Node2""","""Node4""","""Node3""","""Node3""","(3, 0, 2)",5,"(6, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",7,1,3,0,2
