Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,"	MapTask8To",MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,Origin
0.003960564,0.038863448,6,"(3, 4)","""Node6""","""Node6""","""Node1""","""Node4""","""Node6""","""Node2""","""Node4""","""Node1""","""Node5""","""Node3""","""Node3""","(4, 2, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.00403554,0.038392981,6,"(5, 6)","""Node6""","""Node5""","""Node6""","""Node6""","""Node5""","""Node6""","""Node2""","""Node3""","""Node4""","""Node1""","""Node1""","(4, 2, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.007374242,0.036797475,6,"(5, 6)","""Node3""","""Node1""","""Node3""","""Node3""","""Node2""","""Node2""","""Node1""","""Node4""","""Node6""","""Node5""","""Node5""","(6, 0, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.004308933,0.037673713,6,"(6, 8)","""Node2""","""Node2""","""Node4""","""Node2""","""Node5""","""Node1""","""Node4""","""Node2""","""Node3""","""Node6""","""Node5""","(6, 0, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.004837383,0.039569649,5,"(7, 8)","""Node2""","""Node1""","""Node2""","""Node2""","""Node3""","""Node1""","""Node4""","""Node2""","""Node3""","""Node4""","""Node5""","(4, 1, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003641841,0.050122539,4,"(1 ,1)","""Node2""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node2""","""Node4""","""Node3""","""Node4""","""Node4""","(0, 2, 2)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.004131902,0.046316502,4,"(1 ,1)","""Node1""","""Node2""","""Node1""","""Node4""","""Node3""","""Node2""","""Node1""","""Node4""","""Node2""","""Node4""","""Node4""","(1, 1, 2)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003271156,0.04867566,5,"(1 ,1)","""Node5""","""Node2""","""Node5""","""Node5""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node1""","""Node4""","(1, 3, 1)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003233382,0.053439806,6,"(1 ,1)","""Node2""","""Node6""","""Node5""","""Node2""","""Node3""","""Node6""","""Node1""","""Node5""","""Node4""","""Node1""","""Node4""","(0, 1, 5)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.00340992,0.044119908,6,"(1 ,1)","""Node3""","""Node1""","""Node6""","""Node3""","""Node4""","""Node2""","""Node1""","""Node6""","""Node5""","""Node2""","""Node5""","(1, 5, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003443014,0.042262869,6,"(1 ,1)","""Node6""","""Node5""","""Node4""","""Node6""","""Node3""","""Node5""","""Node1""","""Node4""","""Node2""","""Node1""","""Node2""","(3, 3, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003904899,0.041241066,5,"(1 ,1)","""Node3""","""Node2""","""Node5""","""Node3""","""Node4""","""Node1""","""Node2""","""Node5""","""Node4""","""Node1""","""Node4""","(3, 0, 2)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003512761,0.041601537,6,"(1 ,1)","""Node5""","""Node6""","""Node5""","""Node5""","""Node3""","""Node6""","""Node4""","""Node2""","""Node1""","""Node2""","""Node1""","(4, 2, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003212822,0.055794078,6,"(1 ,1)","""Node1""","""Node2""","""Node3""","""Node1""","""Node5""","""Node2""","""Node6""","""Node3""","""Node4""","""Node6""","""Node4""","(0, 0, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003308705,0.04583662,6,"(1 ,1)","""Node6""","""Node4""","""Node1""","""Node6""","""Node2""","""Node4""","""Node5""","""Node1""","""Node3""","""Node5""","""Node3""","(0, 5, 1)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.004837383,0.039569649,5,"(3, 4)","""Node1""","""Node3""","""Node4""","""Node2""","""Node5""","""Node3""","""Node1""","""Node4""","""Node2""","""Node5""","""Node5""","(4, 1, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003821267,0.048994841,4,"(3, 4)","""Node4""","""Node2""","""Node4""","""Node4""","""Node1""","""Node3""","""Node2""","""Node4""","""Node3""","""Node1""","""Node1""","(1, 0, 3)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003843196,0.041305784,6,"(3, 4)","""Node5""","""Node5""","""Node6""","""Node1""","""Node5""","""Node2""","""Node3""","""Node6""","""Node4""","""Node1""","""Node1""","(3, 3, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.004615438,0.04508789,4,"(5, 6)","""Node1""","""Node2""","""Node1""","""Node1""","""Node2""","""Node4""","""Node4""","""Node3""","""Node3""","""Node4""","""Node4""","(1, 2, 1)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.004626755,0.041235394,5,"(5, 8)","""Node3""","""Node1""","""Node3""","""Node1""","""Node2""","""Node1""","""Node3""","""Node1""","""Node5""","""Node4""","""Node4""","(3, 0, 2)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.005087467,0.044414868,4,"(6, 7)","""Node3""","""Node3""","""Node3""","""Node1""","""Node2""","""Node3""","""Node1""","""Node1""","""Node2""","""Node4""","""Node1""","(1, 2, 1)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003483501,0.041646102,5,"(6, 8)","""Node2""","""Node1""","""Node2""","""Node1""","""Node4""","""Node5""","""Node2""","""Node2""","""Node4""","""Node5""","""Node3""","(1, 3, 1)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.004223996,0.038962622,6,"(6, 8)","""Node6""","""Node2""","""Node6""","""Node6""","""Node5""","""Node1""","""Node2""","""Node1""","""Node4""","""Node3""","""Node5""","(4, 2, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.004837845,0.03835509,6,"(7, 8)","""Node3""","""Node2""","""Node6""","""Node3""","""Node5""","""Node2""","""Node6""","""Node5""","""Node5""","""Node4""","""Node1""","(6, 0, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",Source
0.003932671,0.040994281,6,"(3, 4)","""Node6""","""Node3""","""Node6""","""Node1""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node5""","""Node5""","(3, 3, 0)",1,1,0.5,1,1,1,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",Evolution
0.005771296,0.042697811,6,"(6, 8)","""Node5""","""Node1""","""Node6""","""Node5""","""Node2""","""Node1""","""Node6""","""Node2""","""Node4""","""Node3""","""Node3""","(6, 0, 0)",1,1,1,0.666666667,0.666666667,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",Evolution
0.004736518,0.049134514,4,"(1, 1)","""Node3""","""Node1""","""Node2""","""Node4""","""Node3""","""Node1""","""Node2""","""Node4""","""Node2""","""Node4""","""Node4""","(1, 1, 2)",1,1,1,1,0.666666667,0.25,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""PB""",Evolution
0.004571727,0.04569084,5,"(1, 1)","""Node6""","""Node1""","""Node6""","""Node6""","""Node4""","""Node5""","""Node1""","""Node2""","""Node4""","""Node2""","""Node5""","(0, 1, 5)",0.666666667,0.666666667,0.25,1,1,1,"""PB""","""FCFS""","""PB""","""PB""","""FCFS""","""PB""",Evolution
0.004477348,0.045385128,5,"(3, 4)","""Node4""","""Node2""","""Node5""","""Node5""","""Node1""","""Node4""","""Node2""","""Node5""","""Node1""","""Node3""","""Node3""","(4, 1, 0)",1,1,1,1,1,1,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""PB""",Evolution
0.005771296,0.042697811,5,"(5, 8)","""Node3""","""Node2""","""Node3""","""Node3""","""Node5""","""Node1""","""Node2""","""Node5""","""Node4""","""Node2""","""Node5""","(3, 0, 2)",0.666666667,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",Evolution
0.003932671,0.040994281,5,"(6, 8)","""Node4""","""Node3""","""Node4""","""Node3""","""Node2""","""Node5""","""Node4""","""Node4""","""Node2""","""Node5""","""Node1""","(1, 3, 1)",1,1,0.666666667,1,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",Evolution
0.003517771,0.054554429,6,"(1, 1)","""Node4""","""Node1""","""Node2""","""Node4""","""Node3""","""Node6""","""Node2""","""Node5""","""Node3""","""Node5""","""Node5""","(0, 0, 6)",0.5,1,1,0.666666667,1,1,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB""",Evolution
0.005363638,0.045419205,6,"(1, 1)","""Node1""","""Node5""","""Node5""","""Node3""","""Node4""","""Node2""","""Node6""","""Node5""","""Node2""","""Node4""","""Node6""","(0, 5, 1)",0.5,1,0.666666667,1,1,0.666666667,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""PB""",Evolution
0.005447267,0.042517493,6,"(3, 4)","""Node3""","""Node2""","""Node1""","""Node3""","""Node4""","""Node5""","""Node2""","""Node6""","""Node5""","""Node4""","""Node4""","(3, 3, 0)",0.666666667,1,0.666666667,1,1,0.666666667,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB""",Evolution
0.004507091,0.041700766,6,"(1, 1)","""Node5""","""Node6""","""Node5""","""Node4""","""Node2""","""Node6""","""Node1""","""Node3""","""Node4""","""Node1""","""Node3""","(3, 3, 0)",1,1,1,1,0.666666667,1,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",Evolution
0.003745087,0.055724265,5,"(1, 1)","""Node2""","""Node4""","""Node2""","""Node3""","""Node5""","""Node4""","""Node2""","""Node3""","""Node4""","""Node3""","""Node1""","(0, 1, 5)",0.25,1,1,1,1,0.25,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""PB""",Evolution
0.003556588,0.040207098,5,"(1, 1)","""Node5""","""Node3""","""Node1""","""Node5""","""Node6""","""Node3""","""Node4""","""Node1""","""Node6""","""Node3""","""Node6""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.00504974,0.040020062,6,"(3, 4)","""Node5""","""Node3""","""Node6""","""Node1""","""Node2""","""Node4""","""Node5""","""Node3""","""Node4""","""Node2""","""Node2""","(3, 3, 0)",0.5,1,0.666666667,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""",Evolution
0.004201978,0.052344575,6,"(1, 1)","""Node3""","""Node2""","""Node3""","""Node3""","""Node5""","""Node6""","""Node4""","""Node4""","""Node5""","""Node6""","""Node1""","(0, 3, 3)",0.5,0.25,1,1,1,1,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""",Evolution
0.003198542,0.04965518,6,"(1, 1)","""Node1""","""Node5""","""Node2""","""Node1""","""Node6""","""Node5""","""Node3""","""Node4""","""Node3""","""Node4""","""Node4""","(0, 3, 3)",1,0.666666667,1,1,1,1,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""PB""",Evolution
0.005771296,0.042697811,5,"(1, 1)","""Node4""","""Node3""","""Node1""","""Node4""","""Node5""","""Node3""","""Node2""","""Node4""","""Node5""","""Node2""","""Node5""","(3, 0, 2)",1,1,1,1,1,1,"""PB""","""PB""","""FCFS""","""PB""","""FCFS""","""FCFS""",Evolution
0.005350005,0.037797975,5,"(6, 8)","""Node4""","""Node5""","""Node4""","""Node4""","""Node2""","""Node5""","""Node1""","""Node3""","""Node2""","""Node3""","""Node3""","(6, 0, 0)",1,1,1,1,1,0.25,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""PB""",Evolution
0.004562958,0.043692803,6,"(1, 1)","""Node3""","""Node2""","""Node3""","""Node6""","""Node5""","""Node1""","""Node4""","""Node4""","""Node5""","""Node4""","""Node5""","(3, 3, 0)",0.666666667,0.25,0.666666667,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""",Evolution
0.004571727,0.04569084,5,"(1, 1)","""Node1""","""Node1""","""Node2""","""Node1""","""Node4""","""Node3""","""Node3""","""Node2""","""Node5""","""Node2""","""Node4""","(1, 3, 1)",1,1,1,1,0.666666667,1,"""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""","""PB""",Evolution
0.005980946,0.038594453,5,"(6, 8)","""Node3""","""Node4""","""Node1""","""Node1""","""Node2""","""Node6""","""Node4""","""Node2""","""Node2""","""Node6""","""Node2""","(6, 0, 0)",1,1,0.25,0.666666667,0.25,1,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""FCFS""",Evolution
0.005210791,0.051934255,5,"(6, 8)","""Node4""","""Node2""","""Node4""","""Node4""","""Node3""","""Node5""","""Node2""","""Node2""","""Node3""","""Node5""","""Node1""","(1, 3, 1)",1,1,1,1,1,0.666666667,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",Evolution
0.004900052,0.038907814,5,"(6, 8)","""Node5""","""Node1""","""Node5""","""Node5""","""Node4""","""Node1""","""Node2""","""Node4""","""Node4""","""Node2""","""Node6""","(4, 2, 0)",1,1,0.25,1,1,1,"""PB""","""PB""","""PB""","""PB""","""FCFS""","""PB""",Evolution
0.004870173,0.038238397,5,"(7, 8)","""Node4""","""Node6""","""Node6""","""Node4""","""Node1""","""Node5""","""Node3""","""Node1""","""Node1""","""Node3""","""Node5""","(6, 0, 0)",1,0.25,1,1,1,1,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",Evolution
0.003974314,0.054263844,6,"(1, 1)","""Node1""","""Node2""","""Node4""","""Node1""","""Node6""","""Node5""","""Node3""","""Node4""","""Node5""","""Node3""","""Node3""","(0, 0, 6)",0.666666667,0.666666667,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""FCFS""","""PB""",Evolution
0.004168377,0.043138292,5,"(1, 1)","""Node4""","""Node5""","""Node1""","""Node4""","""Node6""","""Node3""","""Node5""","""Node5""","""Node3""","""Node6""","""Node3""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB""",Evolution
0.004805293,0.042532151,5,"(1, 1)","""Node1""","""Node1""","""Node3""","""Node1""","""Node6""","""Node5""","""Node4""","""Node3""","""Node6""","""Node5""","""Node4""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.004384827,0.042665271,6,"(1, 1)","""Node4""","""Node3""","""Node5""","""Node4""","""Node6""","""Node3""","""Node1""","""Node5""","""Node6""","""Node1""","""Node2""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.005545246,0.043274791,6,"(1, 1)","""Node6""","""Node3""","""Node6""","""Node6""","""Node5""","""Node3""","""Node1""","""Node4""","""Node5""","""Node1""","""Node2""","(3, 3, 0)",0.666666667,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.004377316,0.042311717,5,"(1, 1)","""Node5""","""Node6""","""Node5""","""Node5""","""Node1""","""Node3""","""Node6""","""Node4""","""Node1""","""Node3""","""Node4""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""",Evolution
0.004673579,0.043775464,6,"(1, 1)","""Node4""","""Node1""","""Node5""","""Node4""","""Node3""","""Node6""","""Node1""","""Node5""","""Node6""","""Node5""","""Node2""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""",Evolution
0.004285916,0.055314097,6,"(1, 1)","""Node5""","""Node2""","""Node5""","""Node5""","""Node6""","""Node3""","""Node1""","""Node4""","""Node3""","""Node6""","""Node1""","(0, 1, 5)",1,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",Evolution
0.00394957,0.04260669,5,"(1, 1)","""Node5""","""Node5""","""Node2""","""Node5""","""Node6""","""Node3""","""Node4""","""Node2""","""Node3""","""Node6""","""Node4""","(3, 3, 0)",0.5,1,1,1,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.00392756,0.040163555,6,"(1, 1)","""Node6""","""Node6""","""Node3""","""Node6""","""Node2""","""Node5""","""Node4""","""Node3""","""Node1""","""Node4""","""Node1""","(3, 3, 0)",1,1,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",Evolution
0.005109525,0.043355989,5,"(1, 1)","""Node1""","""Node5""","""Node5""","""Node1""","""Node3""","""Node6""","""Node4""","""Node5""","""Node6""","""Node4""","""Node6""","(3, 3, 0)",0.666666667,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.004948834,0.043965201,5,"(1, 1)","""Node3""","""Node1""","""Node6""","""Node3""","""Node5""","""Node4""","""Node1""","""Node6""","""Node5""","""Node6""","""Node5""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.004081022,0.04192178,5,"(1, 1)","""Node6""","""Node1""","""Node6""","""Node6""","""Node3""","""Node1""","""Node5""","""Node4""","""Node5""","""Node5""","""Node5""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",Evolution
0.003870436,0.042842618,6,"(1, 1)","""Node6""","""Node6""","""Node5""","""Node6""","""Node1""","""Node3""","""Node4""","""Node5""","""Node2""","""Node3""","""Node2""","(3, 3, 0)",1,1,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""PB""",Evolution
0.003680205,0.040844204,5,"(1, 1)","""Node5""","""Node5""","""Node5""","""Node1""","""Node3""","""Node6""","""Node5""","""Node1""","""Node3""","""Node4""","""Node4""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB""",Evolution
0.00405927,0.043634554,5,"(1, 1)","""Node5""","""Node4""","""Node5""","""Node5""","""Node6""","""Node1""","""Node3""","""Node4""","""Node6""","""Node1""","""Node3""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",Evolution
0.004652629,0.042684554,6,"(1, 1)","""Node3""","""Node6""","""Node1""","""Node3""","""Node5""","""Node2""","""Node4""","""Node6""","""Node5""","""Node2""","""Node5""","(3, 3, 0)",1,1,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.003794085,0.042725224,6,"(1, 1)","""Node5""","""Node3""","""Node5""","""Node4""","""Node6""","""Node2""","""Node3""","""Node4""","""Node6""","""Node1""","""Node1""","(3, 3, 0)",0.666666667,0.666666667,1,1,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.005304507,0.043880425,5,"(1, 1)","""Node3""","""Node5""","""Node6""","""Node3""","""Node1""","""Node5""","""Node4""","""Node6""","""Node1""","""Node5""","""Node4""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.005007615,0.041001018,6,"(1, 1)","""Node5""","""Node3""","""Node5""","""Node5""","""Node1""","""Node6""","""Node2""","""Node3""","""Node4""","""Node1""","""Node4""","(3, 3, 0)",1,0.666666667,1,0.666666667,1,0.666666667,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.004585776,0.040940039,5,"(1, 1)","""Node5""","""Node4""","""Node3""","""Node5""","""Node6""","""Node1""","""Node4""","""Node3""","""Node1""","""Node3""","""Node1""","(3, 3, 0)",1,0.25,1,1,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",Evolution
0.005165678,0.042896417,6,"(1, 1)","""Node5""","""Node3""","""Node2""","""Node6""","""Node1""","""Node3""","""Node4""","""Node6""","""Node1""","""Node3""","""Node3""","(3, 3, 0)",1,0.5,1,0.666666667,0.25,1,"""PB""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.003396409,0.042444733,5,"(1, 1)","""Node6""","""Node4""","""Node5""","""Node6""","""Node1""","""Node3""","""Node4""","""Node5""","""Node3""","""Node4""","""Node3""","(3, 3, 0)",1,0.25,1,1,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.004350389,0.040351377,6,"(1, 1)","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node5""","""Node1""","""Node5""","""Node3""","""Node3""","(3, 3, 0)",1,1,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",Evolution
0.004361537,0.042843878,5,"(1, 1)","""Node5""","""Node4""","""Node5""","""Node5""","""Node1""","""Node3""","""Node4""","""Node6""","""Node1""","""Node3""","""Node3""","(3, 3, 0)",1,0.25,1,0.666666667,1,0.5,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""PB""",Evolution
0.004480553,0.052947494,6,"(1, 1)","""Node6""","""Node2""","""Node6""","""Node3""","""Node1""","""Node5""","""Node6""","""Node3""","""Node5""","""Node3""","""Node4""","(2, 0, 4)",1,0.25,1,0.5,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.00429744,0.041097001,6,"(1, 1)","""Node4""","""Node1""","""Node5""","""Node4""","""Node6""","""Node1""","""Node2""","""Node3""","""Node6""","""Node3""","""Node2""","(3, 3, 0)",1,1,1,0.666666667,0.5,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
0.003546886,0.044081343,5,"(1, 1)","""Node3""","""Node1""","""Node4""","""Node3""","""Node5""","""Node6""","""Node1""","""Node4""","""Node5""","""Node6""","""Node5""","(3, 3, 0)",1,0.25,1,1,1,1,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",Evolution
0.004490923,0.044197032,5,"(1, 1)","""Node4""","""Node2""","""Node5""","""Node4""","""Node6""","""Node3""","""Node2""","""Node5""","""Node6""","""Node5""","""Node3""","(3, 3, 0)",0.25,1,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",Evolution
0.005417295,0.041882679,6,"(1, 1)","""Node2""","""Node4""","""Node5""","""Node2""","""Node3""","""Node6""","""Node5""","""Node1""","""Node6""","""Node1""","""Node1""","(3, 3, 0)",1,0.666666667,1,0.666666667,1,1,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""",Evolution
0.006325643,0.042450082,4,"(1, 1)","""Node6""","""Node6""","""Node3""","""Node6""","""Node5""","""Node1""","""Node1""","""Node3""","""Node5""","""Node3""","""Node5""","(3, 3, 0)",1,0.25,1,0.666666667,1,1,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",Evolution
